source_file,method_id,train_dataset,test_dataset,model,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,8,200,57.0,,,57.0,0.14,57.0,57.0,0.14,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,9,200,66.5,,,66.5,0.33,67.5,67.5,0.35,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,10,200,59.5,,,59.5,0.19,59.5,59.5,0.19,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,11,200,50.5,,,50.5,0.01,47.5,47.5,-0.05,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,12,200,59.5,,,59.5,0.19,60.0,60.0,0.2,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,13,200,61.0,,,61.0,0.22,55.5,55.5,0.11,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,14,200,63.0,,,63.0,0.26,63.0,63.0,0.26,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,15,200,51.0,,,51.0,0.02,56.0,56.0,0.12,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,16,200,58.5,,,58.5,0.17,59.5,59.5,0.19,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,17,200,60.5,,,60.5,0.21,61.5,61.5,0.23,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,18,200,68.5,,,68.5,0.37,68.0,68.0,0.36,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,19,200,75.5,,,75.5,0.51,75.0,75.0,0.5,,,,,,,,,
loso_results_20260604_cross_stdmi_datasetea_ea_adabn_con_pseudo085_cross_cho2017_to_lee2019_cspnetcontrastive.csv,20260604,cho2017,lee2019,cspnetcontrastive,,20,200,61.0,,,61.0,0.22,61.5,61.5,0.23,,,,,,,,,
