source_file,method_id,eval_type,train_dataset,test_dataset,model,n_subjects,mean_acc,mean_precision_macro,mean_f1_macro,mean_bac,mean_kappa
loso_results_20260604_cross_stdmi_datasetea_ea_weight_tau10_cspnet_cross_lee2019_to_cho2017_cspnet.csv,20260604,base,lee2019,cho2017,cspnet,52,58.2135,,,58.2135,0.1643
loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,20260604,base,lee2019,cho2017,csp_lda,52,59.2327,,,59.2327,0.1847
loso_results_20260605_raw_unified_cross_cho2017_to_lee2019_csp_lda.csv,20260605_raw_unified,base,cho2017,lee2019,csp_lda,54,68.963,,,68.963,0.3793
loso_results_20260605_raw_unified_cross_lee2019_to_cho2017_csp_lda.csv,20260605_raw_unified,base,lee2019,cho2017,csp_lda,52,65.1,,,65.1,0.302
loso_results_20260608_alignment_variants_riemannian_dataset_subject_cross_cho2017_to_lee2019_csp_lda.csv,20260608_alignment_variants_riemannian_dataset_subject,base,cho2017,lee2019,riemannian_dataset_subject,54,64.25,,,64.25,0.285
loso_results_20260608_alignment_variants_riemannian_dataset_subject_cross_lee2019_to_cho2017_csp_lda.csv,20260608_alignment_variants_riemannian_dataset_subject,base,lee2019,cho2017,riemannian_dataset_subject,52,58.891,,,58.891,0.1778
loso_results_20260608_alignment_variants_weighted_dataset_ea_cross_cho2017_to_lee2019_csp_lda.csv,20260608_alignment_variants_weighted_dataset_ea,base,cho2017,lee2019,weighted_dataset_ea,54,68.5741,,,68.5741,0.3715
loso_results_20260608_alignment_variants_weighted_dataset_ea_cross_lee2019_to_cho2017_csp_lda.csv,20260608_alignment_variants_weighted_dataset_ea,base,lee2019,cho2017,weighted_dataset_ea,52,64.9777,,,64.9777,0.2995
loso_results_20260608_alignment_variants_zscore_before_ea_cross_cho2017_to_lee2019_csp_lda.csv,20260608_alignment_variants_zscore_before_ea,base,cho2017,lee2019,zscore_before_ea,54,68.8148,,,68.8148,0.3763
loso_results_20260608_alignment_variants_zscore_before_ea_cross_lee2019_to_cho2017_csp_lda.csv,20260608_alignment_variants_zscore_before_ea,base,lee2019,cho2017,zscore_before_ea,52,65.0562,,,65.0562,0.3011
loso_results_20260608_alignment_variants_zscore_between_ea_cross_cho2017_to_lee2019_csp_lda.csv,20260608_alignment_variants_zscore_between_ea,base,cho2017,lee2019,zscore_between_ea,54,68.1019,,,68.1019,0.362
loso_results_20260608_alignment_variants_zscore_between_ea_cross_lee2019_to_cho2017_csp_lda.csv,20260608_alignment_variants_zscore_between_ea,base,lee2019,cho2017,zscore_between_ea,52,64.9502,,,64.9502,0.299
loso_results_20260608_extra_variants_frequency_specific_ea_cross_cho2017_to_lee2019_csp_lda.csv,20260608_extra_variants_frequency_specific_ea,base,cho2017,lee2019,frequency_specific_ea,54,67.1852,,,67.1852,0.3437
loso_results_20260608_extra_variants_frequency_specific_ea_cross_lee2019_to_cho2017_csp_lda.csv,20260608_extra_variants_frequency_specific_ea,base,lee2019,cho2017,frequency_specific_ea,52,62.1571,,,62.1571,0.2431
loso_results_20260608_extra_variants_gaussian_ot_source_to_target_cross_cho2017_to_lee2019_csp_lda.csv,20260608_extra_variants_gaussian_ot_source_to_target,base,cho2017,lee2019,gaussian_ot_source_to_target,54,54.8519,,,54.8519,0.097
loso_results_20260608_extra_variants_gaussian_ot_source_to_target_cross_lee2019_to_cho2017_csp_lda.csv,20260608_extra_variants_gaussian_ot_source_to_target,base,lee2019,cho2017,gaussian_ot_source_to_target,52,58.6138,,,58.6138,0.1723
loso_results_20260608_extra_variants_gaussian_ot_then_subject_ea_cross_cho2017_to_lee2019_csp_lda.csv,20260608_extra_variants_gaussian_ot_then_subject_ea,base,cho2017,lee2019,gaussian_ot_then_subject_ea,54,54.713,,,54.713,0.0943
loso_results_20260608_extra_variants_gaussian_ot_then_subject_ea_cross_lee2019_to_cho2017_csp_lda.csv,20260608_extra_variants_gaussian_ot_then_subject_ea,base,lee2019,cho2017,gaussian_ot_then_subject_ea,52,60.7004,,,60.7004,0.214
loso_results_20260608_extra_variants_physionet_pivot_dataset_cross_cho2017_to_lee2019_csp_lda.csv,20260608_extra_variants_physionet_pivot_dataset,base,cho2017,lee2019,physionet_pivot_dataset,54,55.0278,,,55.0278,0.1006
