dataset,subject,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
cho2017,49,71.5,68.33333333333333,64.5,70.5,68.0,True,False,3.8333333333333286,False,3.5,True,7.0,True,6.0,True,False,2,71.5,AdaBN,7.0
cho2017,50,69.0,66.66666666666667,60.166666666666664,65.16666666666667,65.16666666666667,True,False,6.500000000000007,False,5.000000000000007,False,8.833333333333336,False,5.000000000000007,False,True,0,69.0,AdaBN,8.833333333333336
cho2017,51,67.33333333333333,66.0,61.833333333333336,64.83333333333333,65.5,True,False,4.166666666666664,False,3.6666666666666643,False,5.499999999999993,False,2.999999999999993,False,True,0,67.33333333333333,AdaBN,5.499999999999993
cho2017,52,75.83333333333333,76.5,66.16666666666667,73.5,74.0,True,True,10.333333333333329,True,7.833333333333329,True,9.666666666666657,True,7.333333333333329,True,False,4,76.5,EA,10.333333333333329
lee2019,1,85.33333333333333,85.0,83.0,86.83333333333333,84.5,False,True,2.0,True,1.5,True,2.3333333333333286,True,3.8333333333333286,True,False,4,86.83333333333333,Snapshot,3.8333333333333286
lee2019,2,72.16666666666667,72.83333333333333,73.66666666666667,78.66666666666667,73.5,False,True,-0.8333333333333428,True,-0.1666666666666714,True,-1.5,True,5.0,True,False,4,78.66666666666667,Snapshot,5.0
lee2019,3,88.5,88.0,85.0,86.66666666666667,88.83333333333333,False,True,3.0,True,3.8333333333333286,True,3.5,True,1.6666666666666714,True,False,4,88.83333333333333,TENT,3.8333333333333286
lee2019,4,59.5,57.5,59.0,56.833333333333336,55.833333333333336,True,False,-1.5,False,-3.1666666666666643,False,0.5,False,-2.1666666666666643,False,True,0,59.5,AdaBN,0.5
lee2019,5,90.33333333333333,86.5,88.66666666666667,90.0,86.33333333333333,False,True,-2.1666666666666714,True,-2.333333333333343,True,1.6666666666666572,True,1.3333333333333286,True,False,4,90.33333333333333,AdaBN,1.6666666666666572
lee2019,6,69.0,69.66666666666667,70.0,70.83333333333333,66.66666666666667,False,False,-0.3333333333333286,False,-3.3333333333333286,False,-1.0,True,0.8333333333333286,True,False,1,70.83333333333333,Snapshot,0.8333333333333286
lee2019,7,64.83333333333333,64.5,61.166666666666664,62.666666666666664,64.66666666666667,True,False,3.3333333333333357,False,3.500000000000007,False,3.6666666666666643,False,1.5,False,True,0,64.83333333333333,AdaBN,3.6666666666666643
lee2019,8,75.5,77.5,72.66666666666667,78.83333333333333,75.66666666666667,False,True,4.833333333333329,True,3.0,True,2.8333333333333286,True,6.166666666666657,True,False,4,78.83333333333333,Snapshot,6.166666666666657
lee2019,9,82.5,84.0,83.16666666666667,81.83333333333333,82.0,False,True,0.8333333333333286,True,-1.1666666666666714,True,-0.6666666666666714,True,-1.3333333333333428,True,False,4,84.0,EA,0.8333333333333286
lee2019,10,69.83333333333333,68.33333333333333,62.333333333333336,68.66666666666667,69.83333333333333,True,False,5.999999999999993,False,7.499999999999993,False,7.499999999999993,False,6.333333333333336,False,True,0,69.83333333333333,TENT,7.499999999999993
lee2019,11,53.166666666666664,53.166666666666664,56.5,56.666666666666664,55.5,True,False,-3.3333333333333357,False,-1.0,False,-3.3333333333333357,False,0.1666666666666643,False,True,0,56.666666666666664,Snapshot,0.1666666666666643
lee2019,12,68.0,69.5,69.0,70.0,70.0,True,False,0.5,True,1.0,False,-1.0,True,1.0,True,False,2,70.0,TENT,1.0
lee2019,13,63.166666666666664,62.833333333333336,56.166666666666664,59.166666666666664,61.833333333333336,True,False,6.666666666666671,False,5.666666666666671,False,7.0,False,3.0,False,True,0,63.166666666666664,AdaBN,7.0
