dataset,subject,backbone,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
cho2017,48,CSPNet,94.5,95.5,90.0,94.5,95.5,False,True,5.5,True,5.5,True,4.5,True,4.5,True,False,4,95.5,EA,5.5
cho2017,48,Conformer,88.5,87.0,87.5,91.0,84.0,False,True,-0.5,True,-3.5,True,1.0,True,3.5,True,False,4,91.0,Snapshot,3.5
cho2017,48,EEGNet,96.0,95.5,92.5,95.0,96.0,False,True,3.0,True,3.5,True,3.5,True,2.5,True,False,4,96.0,TENT,3.5
cho2017,49,CSPNet,73.0,73.5,67.5,70.5,68.0,True,True,6.0,False,0.5,True,5.5,True,3.0,True,False,3,73.5,EA,6.0
cho2017,49,Conformer,72.0,63.5,63.0,71.5,73.5,True,False,0.5,True,10.5,True,9.0,True,8.5,True,False,3,73.5,TENT,10.5
cho2017,49,EEGNet,69.5,68.0,63.0,69.5,62.5,True,False,5.0,False,-0.5,False,6.5,False,6.5,False,True,0,69.5,AdaBN,6.5
cho2017,50,CSPNet,68.5,70.5,56.5,68.5,69.5,True,True,14.0,False,13.0,False,12.0,False,12.0,True,False,1,70.5,EA,14.0
cho2017,50,Conformer,67.5,60.0,67.0,61.5,57.0,True,False,-7.0,False,-10.0,False,0.5,False,-5.5,False,True,0,67.5,AdaBN,0.5
cho2017,50,EEGNet,71.0,69.5,57.0,65.5,69.0,True,False,12.5,False,12.0,True,14.0,False,8.5,True,False,1,71.0,AdaBN,14.0
cho2017,51,CSPNet,66.5,68.0,64.0,66.0,70.0,True,False,4.0,True,6.0,False,2.5,False,2.0,True,False,1,70.0,TENT,6.0
cho2017,51,Conformer,65.0,67.5,58.5,63.5,64.5,True,False,9.0,False,6.0,False,6.5,False,5.0,False,True,0,67.5,EA,9.0
cho2017,51,EEGNet,70.5,62.5,63.0,65.0,62.0,True,False,-0.5,False,-1.0,True,7.5,False,2.0,True,False,1,70.5,AdaBN,7.5
cho2017,52,CSPNet,82.5,79.5,73.5,76.5,78.0,False,True,6.0,True,4.5,True,9.0,True,3.0,True,False,4,82.5,AdaBN,9.0
cho2017,52,Conformer,74.0,79.0,61.0,73.0,67.5,True,True,18.0,False,6.5,True,13.0,True,12.0,True,False,3,79.0,EA,18.0
cho2017,52,EEGNet,71.0,71.0,64.0,71.0,76.5,True,True,7.0,True,12.5,True,7.0,True,7.0,True,False,4,76.5,TENT,12.5
lee2019,1,CSPNet,90.0,86.5,84.0,88.5,88.5,False,True,2.5,True,4.5,True,6.0,True,4.5,True,False,4,90.0,AdaBN,6.0
lee2019,1,Conformer,80.5,82.5,79.5,85.5,79.5,False,True,3.0,True,0.0,True,1.0,True,6.0,True,False,4,85.5,Snapshot,6.0
lee2019,1,EEGNet,85.5,86.0,85.5,86.5,85.5,False,True,0.5,True,0.0,True,0.0,True,1.0,True,False,4,86.5,Snapshot,1.0
lee2019,2,CSPNet,80.0,80.0,77.0,80.5,77.0,False,True,3.0,True,0.0,True,3.0,True,3.5,True,False,4,80.5,Snapshot,3.5
lee2019,2,Conformer,75.0,65.5,74.5,75.0,69.0,False,False,-9.0,False,-5.5,True,0.5,True,0.5,True,False,2,75.0,AdaBN,0.5
