group,baseline,candidate,dataset,feature,n,rho,p
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,cho2017,source_pool_knn10_dist,52,0.271248974917925,0.05176374170614611
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,cho2017,source_pool_sim_weight,52,-0.1837106987389287,0.19234239382808258
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,lee2019,baseline_acc,54,0.12261740451429723,0.3770707732146831
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,lee2019,cov_condition_num,54,-0.12822337440377746,0.35547587690049365
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,lee2019,source_pool_mean_dist,54,-0.3188597339668809,0.018772948017179613
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,lee2019,source_pool_min_dist,54,-0.22793145834026649,0.09738705263889937
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,lee2019,source_pool_knn3_dist,54,-0.20243184116202195,0.14210325370348745
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,lee2019,source_pool_knn5_dist,54,-0.20273722579888717,0.1414899043534484
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,lee2019,source_pool_knn10_dist,54,-0.22747338138496864,0.09808005916579952
EA_to_Snapshot,ea_eegnet,ea_snapshot_eegnet,lee2019,source_pool_sim_weight,54,0.3188597339668809,0.018772948017179613
EA_to_TTA,ea_conformer,ea_adabn_conformer,cho2017,baseline_acc,52,-0.04214900624392473,0.7667076475336593
EA_to_TTA,ea_conformer,ea_adabn_conformer,cho2017,cov_condition_num,52,0.09696548189329927,0.49407329676484135
EA_to_TTA,ea_conformer,ea_adabn_conformer,cho2017,source_pool_mean_dist,52,0.30762053188205046,0.026523600506913974
EA_to_TTA,ea_conformer,ea_adabn_conformer,cho2017,source_pool_min_dist,52,0.2210915641404781,0.11522877025292767
EA_to_TTA,ea_conformer,ea_adabn_conformer,cho2017,source_pool_knn3_dist,52,0.23396611643420687,0.09503810241296626
EA_to_TTA,ea_conformer,ea_adabn_conformer,cho2017,source_pool_knn5_dist,52,0.23050153591662542,0.10017916257756229
EA_to_TTA,ea_conformer,ea_adabn_conformer,cho2017,source_pool_knn10_dist,52,0.2294322209420632,0.10180856654614769
EA_to_TTA,ea_conformer,ea_adabn_conformer,cho2017,source_pool_sim_weight,52,-0.2994081928774128,0.031059138729756984
EA_to_TTA,ea_conformer,ea_adabn_conformer,lee2019,baseline_acc,54,-0.15344109837126296,0.2679701471200833
EA_to_TTA,ea_conformer,ea_adabn_conformer,lee2019,cov_condition_num,54,-0.15736772607136684,0.2557676962037746
EA_to_TTA,ea_conformer,ea_adabn_conformer,lee2019,source_pool_mean_dist,54,-0.13943734273717476,0.31460868832754635
EA_to_TTA,ea_conformer,ea_adabn_conformer,lee2019,source_pool_min_dist,54,-0.1416118785883427,0.30704605581577216
EA_to_TTA,ea_conformer,ea_adabn_conformer,lee2019,source_pool_knn3_dist,54,-0.17316172330616583,0.2105028854472266
EA_to_TTA,ea_conformer,ea_adabn_conformer,lee2019,source_pool_knn5_dist,54,-0.1853696438741264,0.17960458457042128
EA_to_TTA,ea_conformer,ea_adabn_conformer,lee2019,source_pool_knn10_dist,54,-0.19586082561221752,0.1557855867413008
EA_to_TTA,ea_conformer,ea_adabn_conformer,lee2019,source_pool_sim_weight,54,0.13943734273717476,0.31460868832754635
EA_to_TTA,ea_conformer,ea_tent_conformer,cho2017,baseline_acc,52,-0.02584825476827829,0.8556661728113828
EA_to_TTA,ea_conformer,ea_tent_conformer,cho2017,cov_condition_num,52,-0.007095083963562147,0.9601859460201846
EA_to_TTA,ea_conformer,ea_tent_conformer,cho2017,source_pool_mean_dist,52,-0.016241758470804914,0.9090147551659431
EA_to_TTA,ea_conformer,ea_tent_conformer,cho2017,source_pool_min_dist,52,0.015686119365224748,0.9121149546865183
EA_to_TTA,ea_conformer,ea_tent_conformer,cho2017,source_pool_knn3_dist,52,0.010899074763303297,0.9388733223598436
EA_to_TTA,ea_conformer,ea_tent_conformer,cho2017,source_pool_knn5_dist,52,0.01837883195380556,0.8971038278002983
EA_to_TTA,ea_conformer,ea_tent_conformer,cho2017,source_pool_knn10_dist,52,0.01880624665040569,0.8947242531384125
EA_to_TTA,ea_conformer,ea_tent_conformer,cho2017,source_pool_sim_weight,52,-0.007052342493902135,0.9604255983355141
EA_to_TTA,ea_conformer,ea_tent_conformer,lee2019,baseline_acc,54,-0.059286324914196456,0.6702210627200897
EA_to_TTA,ea_conformer,ea_tent_conformer,lee2019,cov_condition_num,54,0.14473074457792365,0.29640502823554055
EA_to_TTA,ea_conformer,ea_tent_conformer,lee2019,source_pool_mean_dist,54,0.15064825062107273,0.276881824775357
EA_to_TTA,ea_conformer,ea_tent_conformer,lee2019,source_pool_min_dist,54,0.10613333419325448,0.444968854674886
EA_to_TTA,ea_conformer,ea_tent_conformer,lee2019,source_pool_knn3_dist,54,0.08693007264677714,0.5319443538207326
EA_to_TTA,ea_conformer,ea_tent_conformer,lee2019,source_pool_knn5_dist,54,0.07746206297773861,0.5777010064199997
EA_to_TTA,ea_conformer,ea_tent_conformer,lee2019,source_pool_knn10_dist,54,0.08223424527060078,0.5544141223844854
EA_to_TTA,ea_conformer,ea_tent_conformer,lee2019,source_pool_sim_weight,54,-0.15064825062107273,0.276881824775357
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,cho2017,baseline_acc,52,-0.09534743494353279,0.5013414302046719
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,cho2017,cov_condition_num,52,-0.05585895432835494,0.6940829933175636
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,cho2017,source_pool_mean_dist,52,-0.2406001396779181,0.08576809590766422
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,cho2017,source_pool_min_dist,52,-0.16102788213277494,0.25411033453386905
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,cho2017,source_pool_knn3_dist,52,-0.1634248947323059,0.2470154863547322
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,cho2017,source_pool_knn5_dist,52,-0.17485350837649802,0.2150444673340234
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,cho2017,source_pool_knn10_dist,52,-0.2001505520608335,0.1548340781202926
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,cho2017,source_pool_sim_weight,52,0.2833611323016933,0.041790014721707645
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,lee2019,baseline_acc,54,0.057302304228458764,0.6806547664423801
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,lee2019,cov_condition_num,54,-0.0076387053209707725,0.9562817744271641
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,lee2019,source_pool_mean_dist,54,-0.02436746997389676,0.8611585062296117
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,lee2019,source_pool_min_dist,54,-0.04858216584137411,0.7271965464072314
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,lee2019,source_pool_knn3_dist,54,-0.015201023588731839,0.9131257531713208
