train_dataset,test_dataset,subject,common_n_channels,source_dataset_mean_dist,source_dataset_min_dist,source_dataset_knn3_dist,source_dataset_knn5_dist,source_dataset_knn10_dist,source_dataset_sim_weight
lee2019,cho2017,7,48,0.06982203701748085,0.06945930579013654,0.06953281453839251,0.0695720271753036,0.06964828805478673,50.35822764924511
lee2019,cho2017,8,48,0.1364623582345137,0.1360993257457514,0.13617708970665893,0.1362166861100595,0.13629218318610561,47.11171487624155
lee2019,cho2017,9,48,0.08273073671288247,0.08244955101084273,0.08249508479240385,0.082525236037678,0.08259063944936526,49.712346038636795
lee2019,cho2017,10,48,0.2345430571090367,0.23421430639380872,0.23428277894745952,0.23431435196237088,0.23438424626756818,42.71033779954709
lee2019,cho2017,11,48,0.20405962164798488,0.20374724879917452,0.203812442486617,0.20384237288872695,0.2039088776202659,44.03234287005406
lee2019,cho2017,12,48,0.5919688920104236,0.5916240764281285,0.5917013258695155,0.5917353273495513,0.5918057333008147,29.874795328120392
lee2019,cho2017,13,48,0.18321229656634663,0.18293362286369327,0.18298866367246103,0.18301164731237374,0.18307308377123221,44.95993471706386
lee2019,cho2017,14,48,0.2131732157391221,0.2128168865174886,0.2128928426586678,0.21293040563756666,0.21300301215548578,43.63287307923009
lee2019,cho2017,15,48,0.15830028618966188,0.15800362411825575,0.15805766651367276,0.15808592735343216,0.15815215280045875,46.094044925110694
lee2019,cho2017,16,48,0.18390463018331527,0.18351423965862976,0.1835925557581967,0.1836377385003532,0.18371842517887432,44.92881833149456
lee2019,cho2017,17,48,0.1104763036985614,0.11007167173749677,0.11015060032831231,0.11020102005421784,0.11028548142740661,48.35200789502153
lee2019,cho2017,18,48,0.11398582932697122,0.11366949591066798,0.11373601056993621,0.1137655379014485,0.11383267902411373,48.18261259507428
lee2019,cho2017,19,48,0.11263625106137891,0.11237146255343337,0.1124245299741873,0.11245028080311373,0.11250502440353308,48.2476826483299
lee2019,cho2017,20,48,0.3183548965530537,0.3179894877736493,0.3180702636677503,0.31810753773368816,0.3181819947103074,39.27660917532965
lee2019,cho2017,21,48,0.3893086112497959,0.3889589067476516,0.38904068505087547,0.3890747886815644,0.3891450257810052,36.58635804986024
lee2019,cho2017,22,48,0.19003090996672128,0.18974565356768855,0.1897982647365413,0.18982351716871448,0.1898882936753839,44.65441310988905
lee2019,cho2017,23,48,0.2264364966057023,0.2261160487698081,0.22618232119434492,0.2262131057294333,0.226281154656013,43.05797891263495
lee2019,cho2017,24,48,0.12447537465249735,0.1242016512374321,0.12424779078122598,0.12427782753179843,0.12433760641754912,47.67984039670324
lee2019,cho2017,25,48,0.13805084349023056,0.13777288335253812,0.13783054220830213,0.13785374973059225,0.1379124679449689,47.03693793584176
lee2019,cho2017,26,48,0.10968994299831569,0.10942028358250916,0.10946735843168938,0.10949133638440903,0.1095528595666028,48.390044820541334
lee2019,cho2017,27,48,0.20951955165533384,0.2093429040543326,0.20938506221658937,0.20940246924207462,0.20942788738300605,43.79258436652768
lee2019,cho2017,28,48,0.17884500730690508,0.17850851137300117,0.17857488198480956,0.1786097824135144,0.1786823878443493,45.15671720187114
lee2019,cho2017,29,48,0.08455656618441454,0.08425270930468773,0.08430869161284904,0.08433824996002157,0.08440608386230508,49.621662606344614
lee2019,cho2017,30,48,0.08560726040941569,0.08523572960769671,0.08530864586812088,0.08535112726844367,0.08542956493582779,49.56955286757747
lee2019,cho2017,31,48,0.18000084304810426,0.17948669091160152,0.17958676904656126,0.17966281391916922,0.1797650355266274,45.10455383253786
