train_dataset,test_dataset,subject,baseline_acc,baseline_bac,baseline_file,candidate_acc,candidate_bac,candidate_file,comparison,delta,common_n_channels,source_dataset_mean_dist,source_dataset_min_dist,source_dataset_knn3_dist,source_dataset_knn5_dist,source_dataset_knn10_dist,source_dataset_sim_weight
cho2017,lee2019,54,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,52.5,52.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,1.5,48,0.23609185024344403,0.04839077059023324,0.0664765886143481,0.07333442956959553,0.08473619270017273,41.94856571818169
lee2019,cho2017,1,54.5,54.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,53.5,53.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,CrossCSP_to_SubjectEA,-1.0,48,0.3049035139673981,0.3045759991641293,0.3046378837533354,0.3046751831993236,0.30474666960690167,39.8085031723994
lee2019,cho2017,2,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,56.5,56.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,CrossCSP_to_SubjectEA,6.5,48,0.1098982477333145,0.1095950533109644,0.10965431602831162,0.10968317749320444,0.10974822794357175,48.37996602228405
lee2019,cho2017,3,74.5,74.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,86.5,86.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,CrossCSP_to_SubjectEA,12.0,48,0.1482481613087148,0.14793101256902708,0.14798374764226183,0.14801879359140774,0.14809113697501505,46.55972465814683
lee2019,cho2017,4,68.5,68.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,74.0,74.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,CrossCSP_to_SubjectEA,5.5,48,0.25141089016314166,0.2510679797922296,0.25113624669071527,0.2511726087080805,0.2512458365827962,41.99594899983266
lee2019,cho2017,5,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,55.0,55.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,CrossCSP_to_SubjectEA,1.0,48,0.11812090084697059,0.117852612288246,0.11789749354249997,0.11792098335666017,0.11798402127743417,47.983785374874195
lee2019,cho2017,6,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,54.0,54.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,CrossCSP_to_SubjectEA,3.5,48,0.04841239078987823,0.048166760464456414,0.04820518042361994,0.04822770638198706,0.04828519900722847,51.44800359706444
lee2019,cho2017,7,48.8,48.8,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,47.1,47.1,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,CrossCSP_to_SubjectEA,-1.6999999999999957,48,0.06982203701748085,0.06945930579013654,0.06953281453839251,0.0695720271753036,0.06964828805478673,50.35822764924511
lee2019,cho2017,8,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,51.0,51.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,CrossCSP_to_SubjectEA,1.0,48,0.1364623582345137,0.1360993257457514,0.13617708970665893,0.1362166861100595,0.13629218318610561,47.11171487624155
lee2019,cho2017,9,57.9,57.9,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,60.8,60.8,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv,CrossCSP_to_SubjectEA,2.8999999999999986,48,0.08273073671288247,0.08244955101084273,0.08249508479240385,0.082525236037678,0.08259063944936526,49.712346038636795
