train_dataset,test_dataset,direction,subject,CSP-LDA baseline,DSA+SEA+SessionEA+SourceWeight+CSPNet,DatasetEA+SubjectEA+CSP-LDA,SessionEA+CSP-LDA,baseline_illiterate,DatasetEA+SubjectEA+CSP-LDA_pass70,DatasetEA+SubjectEA+CSP-LDA_delta,SessionEA+CSP-LDA_pass70,SessionEA+CSP-LDA_delta,DSA+SEA+SessionEA+SourceWeight+CSPNet_pass70,DSA+SEA+SessionEA+SourceWeight+CSPNet_delta,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta
lee2019,cho2017,lee2019->cho2017,11,50.0,70.5,61.0,66.0,True,False,11.0,False,16.0,True,20.5,True,False,1,70.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,20.5
lee2019,cho2017,lee2019->cho2017,12,54.5,76.5,68.5,75.5,True,False,14.0,True,21.0,True,22.0,True,False,2,76.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,22.0
lee2019,cho2017,lee2019->cho2017,13,50.0,57.0,48.0,49.5,True,False,-2.0,False,-0.5,False,7.0,False,True,0,57.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,7.0
lee2019,cho2017,lee2019->cho2017,14,60.0,92.0,95.0,95.0,True,True,35.0,True,35.0,True,32.0,True,False,3,95.0,DatasetEA+SubjectEA+CSP-LDA,35.0
lee2019,cho2017,lee2019->cho2017,15,50.0,72.5,63.0,69.0,True,False,13.0,False,19.0,True,22.5,True,False,1,72.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,22.5
lee2019,cho2017,lee2019->cho2017,16,50.0,66.5,58.5,59.5,True,False,8.5,False,9.5,False,16.5,False,True,0,66.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,16.5
lee2019,cho2017,lee2019->cho2017,17,50.0,55.0,52.0,53.5,True,False,2.0,False,3.5,False,5.0,False,True,0,55.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,5.0
lee2019,cho2017,lee2019->cho2017,18,50.5,67.5,59.5,60.5,True,False,9.0,False,10.0,False,17.0,False,True,0,67.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,17.0
lee2019,cho2017,lee2019->cho2017,19,52.5,74.5,69.0,68.0,True,False,16.5,False,15.5,True,22.0,True,False,1,74.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,22.0
lee2019,cho2017,lee2019->cho2017,20,50.5,71.5,64.0,71.0,True,False,13.5,True,20.5,True,21.0,True,False,2,71.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,21.0
lee2019,cho2017,lee2019->cho2017,21,51.0,74.0,68.5,72.0,True,False,17.5,True,21.0,True,23.0,True,False,2,74.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,23.0
lee2019,cho2017,lee2019->cho2017,22,50.0,66.0,67.5,72.0,True,False,17.5,True,22.0,False,16.0,True,False,1,72.0,SessionEA+CSP-LDA,22.0
lee2019,cho2017,lee2019->cho2017,23,50.0,88.0,76.5,78.0,True,True,26.5,True,28.0,True,38.0,True,False,3,88.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,38.0
