method,train_dataset,test_dataset,direction,subject,acc,bac,source_file
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,10,52.0,52.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,11,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,12,54.5,54.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,13,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,14,60.0,60.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,15,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,16,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,17,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,18,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,19,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,20,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,21,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,22,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,23,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,24,51.5,51.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,25,54.5,54.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,26,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,27,51.5,51.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,28,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,29,49.5,49.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,30,57.5,57.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
