dataset,subject,backbone,method,acc
cho2017,37,Conformer,Original,53.0
cho2017,38,Conformer,Original,63.0
cho2017,39,Conformer,Original,50.5
cho2017,40,Conformer,Original,47.5
cho2017,41,Conformer,Original,91.5
cho2017,42,Conformer,Original,65.0
cho2017,43,Conformer,Original,98.0
cho2017,44,Conformer,Original,74.5
cho2017,45,Conformer,Original,66.0
cho2017,46,Conformer,Original,79.1667
cho2017,47,Conformer,Original,70.0
cho2017,48,Conformer,Original,87.5
cho2017,49,Conformer,Original,63.0
cho2017,50,Conformer,Original,67.0
cho2017,51,Conformer,Original,58.5
cho2017,52,Conformer,Original,61.0
lee2019,1,Conformer,Original,79.5
lee2019,2,Conformer,Original,74.5
lee2019,3,Conformer,Original,86.0
lee2019,4,Conformer,Original,56.0
lee2019,5,Conformer,Original,85.5
lee2019,6,Conformer,Original,65.0
lee2019,7,Conformer,Original,61.0
lee2019,8,Conformer,Original,69.0
lee2019,9,Conformer,Original,85.0
lee2019,10,Conformer,Original,71.5
lee2019,11,Conformer,Original,56.0
lee2019,12,Conformer,Original,69.0
lee2019,13,Conformer,Original,59.0
lee2019,14,Conformer,Original,72.0
lee2019,15,Conformer,Original,53.5
lee2019,16,Conformer,Original,61.5
lee2019,17,Conformer,Original,64.5
lee2019,18,Conformer,Original,82.0
lee2019,19,Conformer,Original,66.0
lee2019,20,Conformer,Original,75.0
lee2019,21,Conformer,Original,76.5
lee2019,22,Conformer,Original,61.0
lee2019,23,Conformer,Original,79.0
lee2019,24,Conformer,Original,52.0
lee2019,25,Conformer,Original,63.0
lee2019,26,Conformer,Original,60.5
lee2019,27,Conformer,Original,55.0
lee2019,28,Conformer,Original,85.5
lee2019,29,Conformer,Original,77.0
lee2019,30,Conformer,Original,63.0
lee2019,31,Conformer,Original,69.5
lee2019,32,Conformer,Original,92.0
lee2019,33,Conformer,Original,95.0
lee2019,34,Conformer,Original,50.5
lee2019,35,Conformer,Original,50.0
lee2019,36,Conformer,Original,88.5
lee2019,37,Conformer,Original,97.5
lee2019,38,Conformer,Original,60.5
lee2019,39,Conformer,Original,82.0
lee2019,40,Conformer,Original,65.5
lee2019,41,Conformer,Original,54.5
lee2019,42,Conformer,Original,66.5
lee2019,43,Conformer,Original,74.5
lee2019,44,Conformer,Original,85.5
lee2019,45,Conformer,Original,77.5
lee2019,46,Conformer,Original,73.5
lee2019,47,Conformer,Original,57.0
lee2019,48,Conformer,Original,51.0
lee2019,49,Conformer,Original,67.0
lee2019,50,Conformer,Original,57.5
lee2019,51,Conformer,Original,61.5
lee2019,52,Conformer,Original,61.5
lee2019,53,Conformer,Original,66.5
lee2019,54,Conformer,Original,54.5
cho2017,1,EEGNet,EA,70.0
cho2017,2,EEGNet,EA,52.5
cho2017,3,EEGNet,EA,94.5
cho2017,4,EEGNet,EA,89.0
cho2017,5,EEGNet,EA,70.5
cho2017,6,EEGNet,EA,66.0
cho2017,7,EEGNet,EA,62.0833
cho2017,8,EEGNet,EA,59.0
cho2017,9,EEGNet,EA,68.3333
cho2017,10,EEGNet,EA,84.5
cho2017,11,EEGNet,EA,74.5
cho2017,12,EEGNet,EA,68.0
cho2017,13,EEGNet,EA,48.0
cho2017,14,EEGNet,EA,90.5
cho2017,15,EEGNet,EA,85.0
cho2017,16,EEGNet,EA,60.0
cho2017,17,EEGNet,EA,54.5
cho2017,18,EEGNet,EA,77.0
cho2017,19,EEGNet,EA,67.5
cho2017,20,EEGNet,EA,63.5
cho2017,21,EEGNet,EA,72.0
cho2017,22,EEGNet,EA,67.0
cho2017,23,EEGNet,EA,80.5
cho2017,24,EEGNet,EA,70.0
cho2017,25,EEGNet,EA,76.0
cho2017,26,EEGNet,EA,74.5
cho2017,27,EEGNet,EA,54.0
cho2017,28,EEGNet,EA,50.0
cho2017,29,EEGNet,EA,60.5
cho2017,30,EEGNet,EA,65.0
cho2017,31,EEGNet,EA,64.0
cho2017,32,EEGNet,EA,55.5
cho2017,33,EEGNet,EA,68.5
cho2017,34,EEGNet,EA,59.5
cho2017,35,EEGNet,EA,60.5
cho2017,36,EEGNet,EA,69.0
cho2017,37,EEGNet,EA,49.0
cho2017,38,EEGNet,EA,72.0
cho2017,39,EEGNet,EA,74.5
cho2017,40,EEGNet,EA,53.0
cho2017,41,EEGNet,EA,97.0
cho2017,42,EEGNet,EA,64.0
cho2017,43,EEGNet,EA,97.0
cho2017,44,EEGNet,EA,74.0
cho2017,45,EEGNet,EA,69.5
cho2017,46,EEGNet,EA,77.0833
cho2017,47,EEGNet,EA,71.5
cho2017,48,EEGNet,EA,95.5
cho2017,49,EEGNet,EA,68.0
cho2017,50,EEGNet,EA,69.5
cho2017,51,EEGNet,EA,62.5
cho2017,52,EEGNet,EA,71.0
lee2019,1,EEGNet,EA,86.0
lee2019,2,EEGNet,EA,73.0
lee2019,3,EEGNet,EA,88.0
lee2019,4,EEGNet,EA,57.5
lee2019,5,EEGNet,EA,92.0
lee2019,6,EEGNet,EA,71.5
lee2019,7,EEGNet,EA,66.0
lee2019,8,EEGNet,EA,81.0
lee2019,9,EEGNet,EA,85.0
lee2019,10,EEGNet,EA,68.5
lee2019,11,EEGNet,EA,55.0
lee2019,12,EEGNet,EA,69.5
lee2019,13,EEGNet,EA,63.0
lee2019,14,EEGNet,EA,79.5
lee2019,15,EEGNet,EA,55.0
lee2019,16,EEGNet,EA,64.0
