dataset,subject,backbone,method,acc,reference_acc,reference,delta
cho2017,8,Conformer,EA,64.0,58.0,Original,6.0
cho2017,9,Conformer,EA,71.6667,67.9167,Original,3.75
cho2017,10,Conformer,EA,86.0,65.5,Original,20.5
cho2017,11,Conformer,EA,71.5,61.5,Original,10.0
cho2017,12,Conformer,EA,73.0,57.0,Original,16.0
cho2017,13,Conformer,EA,55.0,53.5,Original,1.5
cho2017,14,Conformer,EA,91.5,91.5,Original,0.0
cho2017,15,Conformer,EA,73.5,64.0,Original,9.5
cho2017,16,Conformer,EA,62.5,58.5,Original,4.0
cho2017,17,Conformer,EA,54.0,48.5,Original,5.5
cho2017,18,Conformer,EA,65.0,59.5,Original,5.5
cho2017,19,Conformer,EA,69.5,57.0,Original,12.5
cho2017,20,Conformer,EA,65.5,54.0,Original,11.5
cho2017,21,Conformer,EA,79.5,66.5,Original,13.0
cho2017,22,Conformer,EA,73.5,69.0,Original,4.5
cho2017,23,Conformer,EA,87.5,54.5,Original,33.0
cho2017,24,Conformer,EA,75.0,71.0,Original,4.0
cho2017,25,Conformer,EA,79.5,71.0,Original,8.5
cho2017,26,Conformer,EA,63.5,65.5,Original,-2.0
cho2017,27,Conformer,EA,56.0,50.0,Original,6.0
cho2017,28,Conformer,EA,48.5,51.0,Original,-2.5
cho2017,29,Conformer,EA,65.5,59.0,Original,6.5
cho2017,30,Conformer,EA,61.5,63.5,Original,-2.0
cho2017,31,Conformer,EA,69.5,60.0,Original,9.5
cho2017,32,Conformer,EA,54.0,53.0,Original,1.0
cho2017,33,Conformer,EA,67.5,58.5,Original,9.0
cho2017,34,Conformer,EA,53.5,51.0,Original,2.5
cho2017,35,Conformer,EA,63.5,54.5,Original,9.0
cho2017,36,Conformer,EA,73.0,71.5,Original,1.5
cho2017,37,Conformer,EA,47.5,53.0,Original,-5.5
cho2017,38,Conformer,EA,62.0,63.0,Original,-1.0
cho2017,39,Conformer,EA,71.5,50.5,Original,21.0
cho2017,40,Conformer,EA,55.0,47.5,Original,7.5
cho2017,41,Conformer,EA,89.0,91.5,Original,-2.5
cho2017,42,Conformer,EA,66.5,65.0,Original,1.5
cho2017,43,Conformer,EA,97.5,98.0,Original,-0.5
cho2017,44,Conformer,EA,74.0,74.5,Original,-0.5
cho2017,45,Conformer,EA,66.0,66.0,Original,0.0
cho2017,46,Conformer,EA,73.3333,79.1667,Original,-5.833400000000012
cho2017,47,Conformer,EA,73.0,70.0,Original,3.0
cho2017,48,Conformer,EA,87.0,87.5,Original,-0.5
cho2017,49,Conformer,EA,63.5,63.0,Original,0.5
cho2017,50,Conformer,EA,60.0,67.0,Original,-7.0
cho2017,51,Conformer,EA,67.5,58.5,Original,9.0
cho2017,52,Conformer,EA,79.0,61.0,Original,18.0
lee2019,1,Conformer,EA,82.5,79.5,Original,3.0
lee2019,2,Conformer,EA,65.5,74.5,Original,-9.0
lee2019,3,Conformer,EA,91.5,86.0,Original,5.5
lee2019,4,Conformer,EA,55.0,56.0,Original,-1.0
lee2019,5,Conformer,EA,74.5,85.5,Original,-11.0
lee2019,6,Conformer,EA,64.5,65.0,Original,-0.5
lee2019,7,Conformer,EA,63.0,61.0,Original,2.0
lee2019,8,Conformer,EA,73.0,69.0,Original,4.0
lee2019,9,Conformer,EA,84.0,85.0,Original,-1.0
lee2019,10,Conformer,EA,69.5,71.5,Original,-2.0
lee2019,11,Conformer,EA,50.0,56.0,Original,-6.0
lee2019,12,Conformer,EA,71.5,69.0,Original,2.5
lee2019,13,Conformer,EA,63.0,59.0,Original,4.0
lee2019,14,Conformer,EA,74.5,72.0,Original,2.5
lee2019,15,Conformer,EA,53.5,53.5,Original,0.0
lee2019,16,Conformer,EA,62.5,61.5,Original,1.0
lee2019,17,Conformer,EA,70.0,64.5,Original,5.5
lee2019,18,Conformer,EA,79.5,82.0,Original,-2.5
lee2019,19,Conformer,EA,76.0,66.0,Original,10.0
lee2019,20,Conformer,EA,73.5,75.0,Original,-1.5
lee2019,21,Conformer,EA,82.0,76.5,Original,5.5
lee2019,22,Conformer,EA,63.5,61.0,Original,2.5
lee2019,23,Conformer,EA,77.0,79.0,Original,-2.0
lee2019,24,Conformer,EA,58.5,52.0,Original,6.5
lee2019,25,Conformer,EA,63.5,63.0,Original,0.5
lee2019,26,Conformer,EA,66.5,60.5,Original,6.0
lee2019,27,Conformer,EA,51.0,55.0,Original,-4.0
lee2019,28,Conformer,EA,81.0,85.5,Original,-4.5
lee2019,29,Conformer,EA,66.5,77.0,Original,-10.5
lee2019,30,Conformer,EA,60.0,63.0,Original,-3.0
lee2019,31,Conformer,EA,70.0,69.5,Original,0.5
lee2019,32,Conformer,EA,92.0,92.0,Original,0.0
