dataset,subject,method,acc
cho2017,16,EA+SupCon+AdaBN,68.5
cho2017,16,EA+SupCon+CORAL,64.0
cho2017,17,Original,48.5
cho2017,17,EA,55.5
cho2017,17,EA+TENT,55.0
cho2017,17,EA+AdaBN,53.5
cho2017,17,EA+Snapshot+AdaBN,55.5
cho2017,17,EA+SupCon,59.0
cho2017,17,EA+SupCon+AdaBN,56.0
cho2017,17,EA+SupCon+CORAL,58.0
cho2017,18,Original,66.0
cho2017,18,EA,68.5
cho2017,18,EA+TENT,72.0
cho2017,18,EA+AdaBN,72.5
cho2017,18,EA+Snapshot+AdaBN,69.0
cho2017,18,EA+SupCon,66.5
cho2017,18,EA+SupCon+AdaBN,71.0
cho2017,18,EA+SupCon+CORAL,74.0
cho2017,19,Original,58.5
cho2017,19,EA,76.0
cho2017,19,EA+TENT,72.5
cho2017,19,EA+AdaBN,73.0
cho2017,19,EA+Snapshot+AdaBN,74.0
cho2017,19,EA+SupCon,72.5
cho2017,19,EA+SupCon+AdaBN,72.0
cho2017,19,EA+SupCon+CORAL,71.0
cho2017,20,Original,59.0
cho2017,20,EA,70.5
cho2017,20,EA+TENT,67.5
cho2017,20,EA+AdaBN,70.0
cho2017,20,EA+Snapshot+AdaBN,73.5
cho2017,20,EA+SupCon,62.5
cho2017,20,EA+SupCon+AdaBN,71.5
cho2017,20,EA+SupCon+CORAL,71.0
cho2017,21,Original,73.5
cho2017,21,EA,84.5
cho2017,21,EA+TENT,85.0
cho2017,21,EA+AdaBN,83.0
cho2017,21,EA+Snapshot+AdaBN,85.5
cho2017,21,EA+SupCon,83.5
cho2017,21,EA+SupCon+AdaBN,84.5
cho2017,21,EA+SupCon+CORAL,83.0
cho2017,22,Original,73.0
cho2017,22,EA,74.0
cho2017,22,EA+TENT,72.5
cho2017,22,EA+AdaBN,70.5
cho2017,22,EA+Snapshot+AdaBN,71.5
cho2017,22,EA+SupCon,71.5
cho2017,22,EA+SupCon+AdaBN,75.5
cho2017,22,EA+SupCon+CORAL,76.0
cho2017,23,Original,84.0
cho2017,23,EA,89.5
cho2017,23,EA+TENT,90.0
cho2017,23,EA+AdaBN,87.5
cho2017,23,EA+Snapshot+AdaBN,83.5
