dataset,subject,Original,EA,EA+TENT,EA+AdaBN,EA+Snapshot+AdaBN,EA+SupCon,EA+SupCon+AdaBN,EA+SupCon+CORAL,original_illiterate,Original_pass70,Original_delta_original,Original_delta_ea,EA_pass70,EA_delta_original,EA_delta_ea,EA+TENT_pass70,EA+TENT_delta_original,EA+TENT_delta_ea,EA+AdaBN_pass70,EA+AdaBN_delta_original,EA+AdaBN_delta_ea,EA+Snapshot+AdaBN_pass70,EA+Snapshot+AdaBN_delta_original,EA+Snapshot+AdaBN_delta_ea,EA+SupCon_pass70,EA+SupCon_delta_original,EA+SupCon_delta_ea,EA+SupCon+AdaBN_pass70,EA+SupCon+AdaBN_delta_original,EA+SupCon+AdaBN_delta_ea,EA+SupCon+CORAL_pass70,EA+SupCon+CORAL_delta_original,EA+SupCon+CORAL_delta_ea,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta_original,best_combined_delta_ea
lee2019,5,91.0,93.0,92.0,94.5,89.5,93.0,91.0,86.0,False,True,0.0,-2.0,True,2.0,0.0,True,1.0,-1.0,True,3.5,1.5,True,-1.5,-3.5,True,2.0,0.0,True,0.0,-2.0,True,-5.0,-7.0,True,False,4,93.0,EA+SupCon,2.0,0.0
lee2019,6,77.5,73.0,71.5,70.0,72.5,68.5,73.0,71.0,False,True,0.0,4.5,True,-4.5,0.0,True,-6.0,-1.5,True,-7.5,-3.0,True,-5.0,-0.5,False,-9.0,-4.5,True,-4.5,0.0,True,-6.5,-2.0,True,False,3,73.0,EA+SupCon+AdaBN,-4.5,0.0
lee2019,7,60.0,64.5,63.0,60.5,63.5,66.0,67.0,61.5,True,False,0.0,-4.5,False,4.5,0.0,False,3.0,-1.5,False,0.5,-4.0,False,3.5,-1.0,False,6.0,1.5,False,7.0,2.5,False,1.5,-3.0,False,True,0,67.0,EA+SupCon+AdaBN,7.0,2.5
lee2019,8,72.5,78.5,75.5,76.0,78.0,78.5,79.0,71.5,False,True,0.0,-6.0,True,6.0,0.0,True,3.0,-3.0,True,3.5,-2.5,True,5.5,-0.5,True,6.0,0.0,True,6.5,0.5,True,-1.0,-7.0,True,False,4,79.0,EA+SupCon+AdaBN,6.5,0.5
lee2019,9,83.0,83.0,78.5,82.0,83.0,84.5,86.5,85.0,False,True,0.0,0.0,True,0.0,0.0,True,-4.5,-4.5,True,-1.0,-1.0,True,0.0,0.0,True,1.5,1.5,True,3.5,3.5,True,2.0,2.0,True,False,4,86.5,EA+SupCon+AdaBN,3.5,3.5
lee2019,10,57.5,67.0,69.5,67.5,69.0,68.0,67.5,65.5,True,False,0.0,-9.5,False,9.5,0.0,False,12.0,2.5,False,10.0,0.5,False,11.5,2.0,False,10.5,1.0,False,10.0,0.5,False,8.0,-1.5,False,True,0,69.0,EA+Snapshot+AdaBN,11.5,2.0
lee2019,11,56.5,54.5,58.5,52.0,58.5,56.5,57.0,53.5,True,False,0.0,2.0,False,-2.0,0.0,False,2.0,4.0,False,-4.5,-2.5,False,2.0,4.0,False,0.0,2.0,False,0.5,2.5,False,-3.0,-1.0,False,True,0,58.5,EA+Snapshot+AdaBN,2.0,4.0
lee2019,12,66.0,67.5,70.5,66.5,68.0,68.5,71.5,66.0,True,False,0.0,-1.5,False,1.5,0.0,True,4.5,3.0,False,0.5,-1.0,False,2.0,0.5,False,2.5,1.0,True,5.5,4.0,False,0.0,-1.5,True,False,1,71.5,EA+SupCon+AdaBN,5.5,4.0
lee2019,13,55.0,62.5,58.5,62.5,60.5,62.5,61.5,64.5,True,False,0.0,-7.5,False,7.5,0.0,False,3.5,-4.0,False,7.5,0.0,False,5.5,-2.0,False,7.5,0.0,False,6.5,-1.0,False,9.5,2.0,False,True,0,64.5,EA+SupCon+CORAL,9.5,2.0
lee2019,14,75.0,77.5,85.0,81.5,81.5,76.0,80.0,75.0,False,True,0.0,-2.5,True,2.5,0.0,True,10.0,7.5,True,6.5,4.0,True,6.5,4.0,True,1.0,-1.5,True,5.0,2.5,True,0.0,-2.5,True,False,4,81.5,EA+Snapshot+AdaBN,6.5,4.0
lee2019,15,51.5,60.0,63.0,59.5,63.0,56.0,58.5,56.5,True,False,0.0,-8.5,False,8.5,0.0,False,11.5,3.0,False,8.0,-0.5,False,11.5,3.0,False,4.5,-4.0,False,7.0,-1.5,False,5.0,-3.5,False,True,0,63.0,EA+Snapshot+AdaBN,11.5,3.0
lee2019,16,61.5,58.0,61.0,60.5,62.0,60.5,61.5,60.5,True,False,0.0,3.5,False,-3.5,0.0,False,-0.5,3.0,False,-1.0,2.5,False,0.5,4.0,False,-1.0,2.5,False,0.0,3.5,False,-1.0,2.5,False,True,0,62.0,EA+Snapshot+AdaBN,0.5,4.0
lee2019,17,67.0,68.0,71.0,69.0,72.0,73.0,73.5,73.5,True,False,0.0,-1.0,False,1.0,0.0,True,4.0,3.0,False,2.0,1.0,True,5.0,4.0,True,6.0,5.0,True,6.5,5.5,True,6.5,5.5,True,False,4,73.5,EA+SupCon+AdaBN,6.5,5.5
